ID	LON	LAT	STALLI	INDIRIZZO	ANNO	LOCALIZ
1	9.1889369782	45.4647711397	24	P.za Duomo	2008	Carreggiata pedonale
2	9.1976168368	45.4665516897	24	P.za S.Babila	2008	Marciapiede
3	9.1756474984	45.4680588352	21	P.za Cadorna	2008	Marciapiede
4	9.18195608	45.4723299678	24	L.go Greppi	2008	Marciapiede
5	9.1764837345	45.463097607	24	P.za S.Ambrogio	2008	Marciapiede
6	9.1836068562	45.460945288	24	P.za S.Giorgio	2008	Marciapiede
7	9.1866660472	45.4628557119	24	P.za S.Maria Beltrade	2008	Marciapiede
8	9.1902862399	45.4601399628	24	P.za Velasca	2008	Marciapiede
9	9.1951859733	45.4624130011	18	P.za S.Stefano	2008	Marciapiede
10	9.1881370574	45.4613326384	21	P.za Missori	2008	Marciapiede
11	9.1794103759	45.4725091261	18	Via Gadio	2008	Marciapiede
12	9.1814653248	45.4586579544	24	Via Pio IV	2008	Marciapiede
13	9.1974530033	45.4705964728	18	Via Senato	2008	Marciapiede
14	9.1984761042	45.4596012601	21	Via S. Barnaba	2008	Marciapiede
15	9.1727973582	45.4558566824	24	P.za Cantore	2008	Marciapiede
16	9.1845891393	45.4775860799	24	L.go La Foppa	2008	Marciapiede
17	9.1808491498	45.4772597984	18	Via Legnano	2008	Marciapiede
18	9.1665266044	45.4695611159	24	P.za Tommaseo	2008	Marciapiede
19	9.1881465628	45.4563890569	24	Via S.Sofia	2008	Marciapiede
20	9.189592982	45.459139911	21	P.za Erculea	2008	Marciapiede
21	9.1904272391	45.4486336503	24	Via Bocconi	2008	Marciapiede
22	9.20407535	45.4512660462	21	C.so Lodi	2008	Marciapiede
23	9.2052461496	45.4583044245	24	V.le Regina Margherita	2008	Marciapiede
24	9.2073113306	45.4680207872	24	C.so Concordia	2008	Marciapiede
25	9.2024689216	45.4854774673	24	P.za Duca d'Aosta sx	2008	Marciapiede
26	9.2042305798	45.4845953451	24	P.za Duca d'Aosta dx	2008	Marciapiede
27	9.2044794031	45.474650477	24	Bastioni di P.ta Venezia	2008	Marciapiede
28	9.1814320526	45.4675216987	24	L.go Callas	2008	Marciapiede
29	9.2013772674	45.4624510319	24	C.so P.ta Vittoria	2008	Marciapiede
30	9.1956564231	45.4562879744	21	L.go Crocetta	2008	Marciapiede
31	9.1774575514	45.4556759355	24	Via Conca del Naviglio	2008	Marciapiede
32	9.198313593	45.4769355379	30	Via Manin	2008	Carreggiata
33	9.1734631053	45.47193388	24	Via Alemagna	2008	Carreggiata
34	9.1822881108	45.4680527509	21	L.go Cairoli	2008	Marciapiede
35	9.1817098913	45.4604900623	21	Via Torino	2008	Marciapiede
36	9.1836934566	45.4592577256	24	Via S.Vito	2008	Marciapiede
37	9.1869396573	45.4530237486	24	C.so Italia	2008	Marciapiede
38	9.1791456287	45.4522089946	24	P.le XXIV Maggio	2008	Marciapiede
39	9.1866788485	45.4802833619	24	C.so Garibaldi	2008	Marciapiede
40	9.1688995751	45.4640289203	24	Via Morozzo della Rocca	2008	Carreggiata pedonale
41	9.1669269604	45.4677435171	18	P.za Conciliazione	2008	Marciapiede
42	9.1956625323	45.4661658221	24	Via S.Pietro all'Orto	2008	Carreggiata
43	9.1946916707	45.4613620629	24	Via Festa del Perdono	2008	Marciapiede
44	9.1929691385	45.4594459133	24	L.go Richini	2008	Marciapiede
45	9.1866128871	45.4642628838	21	Via Cant�	2008	Marciapiede
46	9.1928158045	45.4800587984	24	P.le Principessa Clotilde	2008	Marciapiede
47	9.1774296057	45.4523808655	24	V.le Gorizia	2008	Marciapiede
48	9.177284541	45.4523961201	21	V.le Gorizia	2008	Marciapiede
49	9.1930021795	45.4665024325	24	Via S.Paolo	2008	Carreggiata
50	9.1947484887	45.4644158855	24	P.za Beccaria	2008	Carreggiata
51	9.1697724426	45.4665621785	24	Via F.lli Ruffini	2008	Carreggiata
52	9.1991469094	45.4804795551	24	Via Vittor Pisani	2008	Marciapiede
53	9.2017032476	45.472374112	24	Via Palestro	2008	Carreggiata
54	9.1806795609	45.4552226146	24	C.so P.ta Ticinese	2008	Carreggiata
55	9.2070427221	45.4627093612	24	P.za Cinque Giornate	2008	Carreggiata
56	9.2005873463	45.4759853537	24	V.le Citt� di Fiume	2008	Carreggiata
57	9.1875277685	45.4718457794	24	Via Brera	2008	Carreggiata
58	9.1695057146	45.458974664	24	Via Numa Pompilio	2008	Carreggiata
59	9.2014824859	45.4724751168	24	Via Palestro	2008	Carreggiata
60	9.1835374153	45.4644119501	24	Via della Posta	2008	Carreggiata
61	9.1982805569	45.4634228247	24	L.go Augusto	2008	Carreggiata
62	9.1867738859	45.4751009887	24	L.go Treves	2008	Carreggiata
63	9.1739899516	45.4620238223	24	Via S.Vittore	2008	Marciapiede
64	9.1898857062	45.4630163575	33	Via Marconi	2008	Carreggiata
65	9.1875051874	45.4586077015	24	P.za Bertarelli	2008	Marciapiede
66	9.1963742218	45.4730256969	27	P.za Cavour	2008	Marciapiede
